Tool,Type,Description,Winget,Choco,Scoop,NPM,Pip,Best Installer,Notes
ansible-lint,python,Ansible linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install
bandit,python,Python security linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install
cargo-clippy,cargo,Rust linter,❌,❌,❌,❌,❌,rustup (cargo),
checkstyle,java,Java linter,❌,✅,✅,❌,❌,choco,
cmake-lint,python,CMake linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install
cppcheck,system,C++ linter,❌,✅,✅,❌,❌,choco,
eslint,npm,JavaScript linter,❌,❌,❌,✅,❌,npm,Easy auto-install
gixy,python,Nginx config linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install
golangci-lint,go,Go linter,❌,✅,✅,❌,❌,choco,
graphql-schema-linter,npm,GraphQL linter,❌,❌,❌,✅,❌,npm,Easy auto-install
hadolint,binary,Dockerfile linter,❌,✅,✅,❌,❌,choco,
htmlhint,npm,HTML linter,❌,❌,❌,✅,❌,npm,Easy auto-install
ktlint,binary,Kotlin linter,❌,❌,✅,❌,❌,scoop,
markdownlint,npm,Markdown linter,❌,✅,❌,✅,❌,npm,Easy auto-install
perlcritic,cpan,Perl linter,❌,❌,❌,❌,❌,cpan (perl),
phpstan,composer,PHP linter,❌,✅,❌,❌,❌,choco,
rubocop,gem,Ruby linter,❌,✅,❌,❌,❌,choco,
scalastyle,java,Scala linter,❌,❌,❌,❌,❌,manual,Requires manual setup
shellcheck,system,Bash linter,✅,✅,✅,❌,❌,winget (pre-installed),Zero setup
solhint,npm,Solidity linter,❌,❌,❌,✅,❌,npm,Easy auto-install
sqlfluff,python,SQL linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install
stylelint,npm,CSS linter,❌,❌,❌,✅,❌,npm,Easy auto-install
swiftlint,binary,Swift linter,❌,✅,❌,❌,❌,choco,
tflint,binary,Terraform linter,❌,✅,✅,❌,❌,choco,
tsc,npm,TypeScript compiler,❌,❌,❌,✅,❌,npm,Easy auto-install
vint,python,Vim script linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install
yamllint,python,YAML linter,❌,❌,❌,❌,✅,pip (pre-installed),Easy auto-install

# SUMMARY
Installer,Coverage,Notes
Winget,1/27,Pre-installed on Windows 10/11
Chocolatey,10/27,Requires installation
Scoop,7/27,Requires installation
NPM,7/27,Requires Node.js (via winget/choco)
Pip,7/27,Already installed with MEDUSA
Pip + NPM,14/27,Best combination

# RECOMMENDATION
Strategy: Use Pip (pre-installed) + NPM (install Node.js via winget)
Coverage: 14/27 tools (51.9%)
Remaining tools: Install via winget/choco as needed, or skip (language-specific)
